DATE;MAC;RSSI;VENDOR;CATEGORIE
9.1.2018 10:19;00:35:66:06:0D:59;-88;Unknown;Handsfree
9.1.2018 10:23;00:35:66:06:0D:59;-86;Unknown;Handsfree
9.1.2018 10:26;00:35:66:06:0D:59;-89;Unknown;Handsfree
9.1.2018 10:29;00:35:66:06:0D:59;-86;Unknown;Handsfree
9.1.2018 10:32;00:35:66:06:0D:59;-89;Unknown;Handsfree
9.1.2018 10:36;00:03:19:22:75:08;-88;Infineon AG;Handsfree
9.1.2018 10:36;00:35:66:06:0D:59;-88;Unknown;Handsfree
9.1.2018 10:36;00:0E:9F:A9:7A:43;-89;TEMIC SDS GmbH;Handsfree
9.1.2018 10:36;00:35:66:06:0D:59;-86;Unknown;Handsfree
9.1.2018 10:38;00:35:66:06:0D:59;-89;Unknown;Handsfree
9.1.2018 10:39;00:35:66:06:0D:59;-87;Unknown;Handsfree
9.1.2018 10:39;00:35:66:06:0D:59;-91;Unknown;Handsfree
9.1.2018 10:40;00:35:66:06:0D:59;-86;Unknown;Handsfree
9.1.2018 10:41;00:26:7E:4A:7E:A5;-86;Parrot SA;Handsfree
9.1.2018 10:41;00:35:66:06:0D:59;-89;Unknown;Handsfree
9.1.2018 10:41;AC:7A:4D:CA:00:24;-87;ALPS ELECTRIC CO.,LTD.;Handsfree
9.1.2018 10:41;C0:38:F9:B5:FD:3E;-86;Nokia Danmark A/S;Smartphone
9.1.2018 10:42;00:35:66:06:0D:59;-87;Unknown;Handsfree
9.1.2018 10:42;84:BE:52:24:FD:23;-90;Unknown;Smartphone
9.1.2018 10:42;00:35:66:06:0D:59;-85;Unknown;Handsfree
9.1.2018 10:42;84:BE:52:24:FD:23;-92;Unknown;Smartphone
9.1.2018 10:42;00:35:66:06:0D:59;-89;Unknown;Handsfree
9.1.2018 10:43;00:35:66:06:0D:59;-91;Unknown;Handsfree
9.1.2018 10:43;00:35:66:06:0D:59;-86;Unknown;Handsfree
9.1.2018 10:44;00:35:66:06:0D:59;-89;Unknown;Handsfree
9.1.2018 10:44;00:35:66:06:0D:59;-86;Unknown;Handsfree
9.1.2018 10:45;00:35:66:06:0D:59;-85;Unknown;Handsfree
9.1.2018 10:45;00:35:66:06:0D:59;-89;Unknown;Handsfree
9.1.2018 10:46;00:35:66:06:0D:59;-89;Unknown;Handsfree
9.1.2018 10:46;00:35:66:06:0D:59;-88;Unknown;Handsfree
9.1.2018 10:47;00:35:66:06:0D:59;-89;Unknown;Handsfree
9.1.2018 10:47;00:35:66:06:0D:59;-87;Unknown;Handsfree
9.1.2018 10:47;00:03:19:69:4D:BC;-73;Infineon AG;Handsfree
9.1.2018 10:47;00:35:66:06:0D:59;-86;Unknown;Handsfree
9.1.2018 10:48;00:03:19:69:4D:BC;-74;Infineon AG;Handsfree
9.1.2018 10:48;00:35:66:06:0D:59;-84;Unknown;Handsfree
9.1.2018 10:48;00:03:19:69:4D:BC;-72;Infineon AG;Handsfree
9.1.2018 10:48;00:35:66:06:0D:59;-85;Unknown;Handsfree
9.1.2018 10:49;00:35:66:06:0D:59;-84;Unknown;Handsfree
9.1.2018 10:49;00:15:88:01:6E:E2;-84;Salutica Allied Solutions Sdn Bhd;Handsfree
9.1.2018 10:49;00:35:66:06:0D:59;-91;Unknown;Handsfree
9.1.2018 10:50;00:15:88:01:6E:E2;-73;Salutica Allied Solutions Sdn Bhd;Handsfree
